Plik;RozmiarPopulacji;KosztZnaleziony;Blad(%);CzasZnalezieniaRekordu(s)
br17.atsp;10;39;0;0.0079696
br17.atsp;50;39;0;0.0019012
br17.atsp;100;39;0;0.0036154
br17.atsp;200;39;0;0.0033272
ftv33.atsp;10;1906;48.2115;55.8247
ftv33.atsp;50;2074;61.2753;0.158612
ftv33.atsp;100;2147;66.9518;0.0445972
ftv33.atsp;200;1668;29.7045;0.0099035
ftv38.atsp;10;2279;48.9542;0.547778
ftv38.atsp;50;2785;82.0261;0.068891
ftv38.atsp;100;2058;34.5098;0.0623125
ftv38.atsp;200;2233;45.9477;0.220567
p43.atsp;10;5649;0.516014;20.6569
p43.atsp;50;5625;0.088968;0.157152
p43.atsp;100;5627;0.124555;13.5233
p43.atsp;200;5623;0.0533808;1.52017
ry48p.atsp;10;16552;14.7691;0.13755
ry48p.atsp;50;16787;16.3986;24.6338
ry48p.atsp;100;18360;27.3055;0.101449
ry48p.atsp;200;18413;27.673;0.0786796
ftv55.atsp;10;2706;68.2836;23.3061
ftv55.atsp;50;3149;95.8333;53.527
ftv55.atsp;100;2736;70.1493;4.60227
ftv55.atsp;200;2917;81.4055;16.872
ftv70.atsp;10;4116;111.077;58.0742
ftv70.atsp;50;4247;117.795;0.491914
ftv70.atsp;100;3943;102.205;12.1327
ftv70.atsp;200;4083;109.385;6.33729
kro124p.atsp;10;55346;52.7629;1.02057
kro124p.atsp;50;54108;49.3458;2.0228
kro124p.atsp;100;56071;54.764;0.772232
kro124p.atsp;200;63952;76.5167;0.622832
rbg323.atsp;10;3996;201.357;18.6024
rbg323.atsp;50;3682;177.677;21.1467
rbg323.atsp;100;3307;149.397;15.3587
rbg323.atsp;200;3035;128.884;19.671
rbg403.atsp;10;5210;111.359;59.5248
rbg403.atsp;50;4705;90.8722;43.8663
rbg403.atsp;100;4502;82.6369;53.1706
rbg403.atsp;200;4483;81.8661;42.3061
ftv170.atsp;10;10029;264.029;8.65614
ftv170.atsp;50;10223;271.071;28.9896
ftv170.atsp;100;9899;259.31;45.7978
ftv170.atsp;200;9885;258.802;3.25838
