Plik;Aspiracja;ZnalezionyKoszt;Blad(%)
br17.atsp;Wylaczona;39;0
br17.atsp;Wlaczona;39;0
ftv33.atsp;Wylaczona;1286;0
ftv33.atsp;Wlaczona;1286;0
ftv38.atsp;Wylaczona;1532;0.130719
ftv38.atsp;Wlaczona;1532;0.130719
p43.atsp;Wylaczona;5635;0.266904
p43.atsp;Wlaczona;5635;0.266904
ry48p.atsp;Wylaczona;14459;0.256552
ry48p.atsp;Wlaczona;14495;0.506171
ftv55.atsp;Wylaczona;1667;3.66915
ftv55.atsp;Wlaczona;1657;3.04726
ftv70.atsp;Wylaczona;2044;4.82051
ftv70.atsp;Wlaczona;2054;5.33333
kro124p.atsp;Wylaczona;38109;5.18631
kro124p.atsp;Wlaczona;37838;4.43831
rbg323.atsp;Wylaczona;1470;10.8597
rbg323.atsp;Wlaczona;1456;9.80392
rbg403.atsp;Wylaczona;2499;1.37931
rbg403.atsp;Wlaczona;2496;1.25761
ftv170.atsp;Wylaczona;3290;19.4192
ftv170.atsp;Wlaczona;3371;22.3593
